0:0:0:0:0:0:0:1 - - [06/May/2023:02:35:08 +0900] "GET /webpro/webproject/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2023:02:35:09 +0900] "GET /webpro/webproject/media/Champagne%20Supernova.mp3 HTTP/1.1" 206 6597080
0:0:0:0:0:0:0:1 - - [06/May/2023:02:35:09 +0900] "GET /webpro/webproject/media/summer.mp3 HTTP/1.1" 206 3702294
0:0:0:0:0:0:0:1 - - [06/May/2023:02:35:09 +0900] "GET /webpro/webproject/media/My%20Favorite%20Part.mp3 HTTP/1.1" 206 3940614
0:0:0:0:0:0:0:1 - - [06/May/2023:02:35:18 +0900] "GET /webpro/webproject/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2023:02:35:18 +0900] "GET /webpro/webproject/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2023:02:35:26 +0900] "GET /webpro/webproject/main.html HTTP/1.1" 200 2005
0:0:0:0:0:0:0:1 - - [06/May/2023:02:35:26 +0900] "GET /webpro/webproject/css/mystyle.css HTTP/1.1" 200 3946
0:0:0:0:0:0:0:1 - - [06/May/2023:02:35:26 +0900] "GET /webpro/webproject/images/logo.png HTTP/1.1" 200 121125
0:0:0:0:0:0:0:1 - - [06/May/2023:02:35:26 +0900] "GET /webpro/webproject/sing.html HTTP/1.1" 200 1040
0:0:0:0:0:0:0:1 - - [06/May/2023:02:35:26 +0900] "GET /webpro/webproject/css/style.css HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [06/May/2023:02:35:26 +0900] "GET /webpro/webproject/images/music/music1.jpg HTTP/1.1" 200 101697
0:0:0:0:0:0:0:1 - - [06/May/2023:02:35:26 +0900] "GET /webpro/webproject/images/music/music2.jpg HTTP/1.1" 200 71013
0:0:0:0:0:0:0:1 - - [06/May/2023:02:35:26 +0900] "GET /webpro/webproject/images/music/music3.png HTTP/1.1" 200 968264
0:0:0:0:0:0:0:1 - - [06/May/2023:02:35:26 +0900] "GET /webpro/webproject/media/Champagne%20Supernova.mp3 HTTP/1.1" 206 7190706
0:0:0:0:0:0:0:1 - - [06/May/2023:02:35:26 +0900] "GET /webpro/webproject/media/summer.mp3 HTTP/1.1" 206 4095510
0:0:0:0:0:0:0:1 - - [06/May/2023:02:35:26 +0900] "GET /webpro/webproject/media/My%20Favorite%20Part.mp3 HTTP/1.1" 206 4399366
0:0:0:0:0:0:0:1 - - [06/May/2023:02:35:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:19 +0900] "GET /webpro/webproject/css/mystyle.css HTTP/1.1" 200 3929
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:19 +0900] "GET /webpro/webproject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:20 +0900] "GET /webpro/webproject/media/My%20Favorite%20Part.mp3 HTTP/1.1" 206 2171142
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:20 +0900] "GET /webpro/webproject/media/summer.mp3 HTTP/1.1" 206 1474070
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:20 +0900] "GET /webpro/webproject/media/Champagne%20Supernova.mp3 HTTP/1.1" 206 4241586
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:22 +0900] "GET /webpro/webproject/book.html HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:22 +0900] "GET /webpro/webproject/images/book/book1.png HTTP/1.1" 200 1271890
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:22 +0900] "GET /webpro/webproject/images/book/book2.jpeg HTTP/1.1" 200 279400
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:22 +0900] "GET /webpro/webproject/images/book/book3.jpeg HTTP/1.1" 200 42592
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:24 +0900] "GET /webpro/webproject/movie.html HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:24 +0900] "GET /webpro/webproject/css/moviestyle.css HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:24 +0900] "GET /webpro/webproject/images/movie/movie1.jpg HTTP/1.1" 200 498922
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:24 +0900] "GET /webpro/webproject/images/movie/movie2.jpeg HTTP/1.1" 200 398407
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:24 +0900] "GET /webpro/webproject/media/m1.mp4 HTTP/1.1" 206 4180596
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:24 +0900] "GET /webpro/webproject/images/movie/movie3.jpg HTTP/1.1" 200 540498
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:27 +0900] "GET /webpro/webproject/digital.html HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:27 +0900] "GET /webpro/webproject/images/digital/digi1.jpg HTTP/1.1" 200 76241
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:27 +0900] "GET /webpro/webproject/images/digital/digi2.jpg HTTP/1.1" 200 82459
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:27 +0900] "GET /webpro/webproject/images/digital/digi3.jpg HTTP/1.1" 200 66749
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:28 +0900] "GET /webpro/webproject/furniture.html HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:28 +0900] "GET /webpro/webproject/images/furniture/fur21.png HTTP/1.1" 200 323374
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:28 +0900] "GET /webpro/webproject/images/furniture/fur1.png HTTP/1.1" 200 615761
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:28 +0900] "GET /webpro/webproject/images/furniture/fur3.png HTTP/1.1" 200 468733
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:29 +0900] "GET /webpro/webproject/stationary.html HTTP/1.1" 200 937
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:29 +0900] "GET /webpro/webproject/images/stationary/sta1.png HTTP/1.1" 200 2360085
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:29 +0900] "GET /webpro/webproject/images/stationary/sta2.png HTTP/1.1" 200 2415542
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:29 +0900] "GET /webpro/webproject/images/stationary/sta3.png HTTP/1.1" 200 1908094
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:30 +0900] "GET /webpro/webproject/ticket.html HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:30 +0900] "GET /webpro/webproject/images/ticket/ticket2.jpeg HTTP/1.1" 200 113147
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:30 +0900] "GET /webpro/webproject/images/ticket/ticket1.jpeg HTTP/1.1" 200 61561
0:0:0:0:0:0:0:1 - - [06/May/2023:02:38:30 +0900] "GET /webpro/webproject/images/ticket/ticket3.jpeg HTTP/1.1" 200 45679
